icao,iata,name,shortName,municipalityName,countryCode,lat,lon,from,averageDailyFlights
KDCA,DCA,"Ronald Reagan Washington National, District of Columbia",Ronald Reagan Washington National,District of Columbia,US,38.8521,-77.0377,BOS,27.81
KJFK,JFK,"John F Kennedy, New York",John F Kennedy,New York,US,40.6398,-73.7789,BOS,21.14
KMCO,MCO,"Orlando, Orlando",,Orlando,US,28.4294,-81.309,BOS,17.29
KLGA,LGA,"La Guardia, New York",La Guardia,New York,US,40.7772,-73.8726,BOS,15.88
KORD,ORD,"Chicago O'Hare, Chicago",O'Hare,Chicago,US,41.9786,-87.9048,BOS,14.53
KEWR,EWR,"Newark Liberty, Newark",Liberty,Newark,US,40.6925,-74.1687,BOS,13.68
KATL,ATL,"Hartsfield Jackson Atlanta, Atlanta",Hartsfield Jackson,Atlanta,US,33.6367,-84.4281,BOS,13.29
KPHL,PHL,"Philadelphia, Philadelphia",,Philadelphia,US,39.8719,-75.2411,BOS,11.43
KCLT,CLT,"Charlotte Douglas, Charlotte",Douglas,Charlotte,US,35.214,-80.9431,BOS,11.01
KFLL,FLL,"Fort Lauderdale Hollywood, Fort Lauderdale",Hollywood,Fort Lauderdale,US,26.0726,-80.1527,BOS,10.94
KTPA,TPA,"Tampa, Tampa",,Tampa,US,27.9755,-82.5332,BOS,10.29
KSFO,SFO,"San Francisco, San Francisco",,San Francisco,US,37.619,-122.375,BOS,10.01
KLAX,LAX,"Los Angeles, Los Angeles",,Los Angeles,US,33.9425,-118.408,BOS,9.58
KMIA,MIA,"Miami, Miami",,Miami,US,25.7932,-80.2906,BOS,9.0
KRDU,RDU,"Raleigh Durham, Raleigh/Durham",Raleigh Durham,Raleigh/Durham,US,35.8776,-78.7875,BOS,8.39
KDFW,DFW,"Dallas Fort Worth, Dallas-Fort Worth",Dallas Fort Worth,Dallas-Fort Worth,US,32.8968,-97.038,BOS,8.05
EGLL,LHR,"London Heathrow, London",Heathrow,London,GB,51.4706,-0.461941,BOS,7.86
KBWI,BWI,"Baltimore/Washington  Thurgood Marshall, Baltimore",Washington  Thurgood Marshall,Baltimore,US,39.1754,-76.6683,BOS,7.15
KPBI,PBI,"Palm Beach, West Palm Beach",Palm Beach,West Palm Beach,US,26.6832,-80.0956,BOS,6.93
KDTW,DTW,"Detroit Metropolitan Wayne County, Detroit",Metropolitan Wayne County,Detroit,US,42.2124,-83.3534,BOS,6.86
KPIT,PIT,"Pittsburgh, Pittsburgh",,Pittsburgh,US,40.4915,-80.2329,BOS,6.57
KRSW,RSW,"Southwest Florida, Fort Myers",Southwest Florida,Fort Myers,US,26.5362,-81.7552,BOS,6.51
KSEA,SEA,"Seattle Tacoma, Seattle",Tacoma,Seattle,US,47.449,-122.309,BOS,6.01
KDEN,DEN,"Denver, Denver",,Denver,US,39.8617,-104.673,BOS,5.85
KMSP,MSP,"Minneapolis-St Paul /Wold-Chamberlain, Minneapolis",St Paul /Wold-Chamberlain,Minneapolis,US,44.882,-93.2218,BOS,5.73
TJSJ,SJU,"Luis Munoz Marin, San Juan",Luis Munoz Marin,San Juan,PR,18.4394,-66.0018,BOS,5.58
KCLE,CLE,"Cleveland Hopkins, Cleveland",Hopkins,Cleveland,US,41.4117,-81.8498,BOS,5.43
KCVG,CVG,"Cincinnati Northern Kentucky, Cincinnati",Northern Kentucky,Cincinnati,US,39.0488,-84.6678,BOS,5.29
KRIC,RIC,"Richmond, Richmond",,Richmond,US,37.5052,-77.3197,BOS,5.29
KACK,ACK,"Nantucket Memorial, Nantucket",Memorial,Nantucket,US,41.2531,-70.0602,BOS,4.73
KAUS,AUS,"Austin Bergstrom, Austin",Bergstrom,Austin,US,30.194498,-97.6699,BOS,4.59
KMVY,MVY,"Martha's Vineyard, Martha's Vineyard",,Martha's Vineyard,US,41.3931,-70.6143,BOS,4.31
KIAH,IAH,"George Bush Intercontinental Houston, Houston",George Bush Intercontinental,Houston,US,29.9844,-95.3414,BOS,4.16
TNCA,AUA,"Queen Beatrix, Oranjestad",Queen Beatrix,Oranjestad,AW,12.501399,-70.0152,BOS,4.14
KIAD,IAD,"Washington Dulles, District of Columbia",Washington Dulles,District of Columbia,US,38.9445,-77.4558,BOS,4.04
KCMH,CMH,"Port Columbus, Columbus",Port,Columbus,US,39.998,-82.8919,BOS,4.0
KPHX,PHX,"Phoenix Sky Harbor, Phoenix",Sky Harbor,Phoenix,US,33.4343,-112.012,BOS,3.72
CYYZ,YYZ,"Lester B. Pearson, Toronto",Lester B. Pearson,Toronto,CA,43.6772,-79.6306,BOS,3.57
KMDW,MDW,"Chicago Midway, Chicago",Midway,Chicago,US,41.786,-87.7524,BOS,3.53
KIND,IND,"Indianapolis, Indianapolis",,Indianapolis,US,39.7173,-86.2944,BOS,3.44
KMSY,MSY,"Louis Armstrong New Orleans, New Orleans",Louis Armstrong,New Orleans,US,29.9934,-90.258,BOS,3.14
BIKF,KEF,"Keflavik, Reykjavik",Keflavik,Reykjavik,IS,63.985,-22.6056,BOS,3.14
KTEB,TEB,"Teterboro, Teterboro",,Teterboro,US,40.8501,-74.0608,BOS,3.14
KJAX,JAX,"Jacksonville, Jacksonville",,Jacksonville,US,30.4941,-81.6879,BOS,3.04
KBUF,BUF,"Buffalo Niagara, Buffalo",Niagara,Buffalo,US,42.9405,-78.7322,BOS,3.0
KRUT,RUT,"Rutland - Southern Vermont Regional, Rutland",Southern Vermont Regional,Rutland,US,43.5294,-72.9496,BOS,3.0
KBNA,BNA,"Nashville, Nashville",,Nashville,US,36.1245,-86.6782,BOS,2.98
KCHS,CHS,"Charleston Air Force Base-, Charleston",Air Force Base,Charleston,US,32.8986,-80.0405,BOS,2.89
KSLC,SLC,"Salt Lake City, Salt Lake City",,Salt Lake City,US,40.7884,-111.978,BOS,2.89
KRKD,RKD,"Knox County Regional, Rockland",Knox County Regional,Rockland,US,44.0601,-69.0992,BOS,2.86
CYTZ,YTZ,"Billy Bishop Toronto City Centre, Toronto",Billy Bishop  City Centre,Toronto,CA,43.6275,-79.3962,BOS,2.86
KSRQ,SRQ,"Sarasota Bradenton, Sarasota/Bradenton",Sarasota Bradenton,Sarasota/Bradenton,US,27.3954,-82.5544,BOS,2.75
KLEB,LEB,"Lebanon Municipal, Lebanon",Municipal,Lebanon,US,43.6261,-72.3042,BOS,2.71
CYUL,YUL,"Montréal Pierre Elliott Trudeau, Montréal",Pierre Elliott Trudeau,Montréal,CA,45.4706,-73.7408,BOS,2.71
KBHB,BHB,"Hancock County-Bar Harbor, Bar Harbor",Hancock County,Bar Harbor,US,44.45,-68.3615,BOS,2.65
KROC,ROC,"Greater Rochester, Rochester",Greater,Rochester,US,43.1189,-77.6724,BOS,2.59
MDPC,PUJ,"Punta Cana, Punta Cana",,Punta Cana,DO,18.567398,-68.3634,BOS,2.57
KLAS,LAS,"McCarran, Las Vegas",McCarran,Las Vegas,US,36.0801,-115.152,BOS,2.45
KSAN,SAN,"San Diego, San Diego",,San Diego,US,32.7336,-117.19,BOS,2.45
MYNN,NAS,"Lynden Pindling, Nassau",Lynden Pindling,Nassau,BS,25.039,-77.4662,BOS,2.43
KHPN,HPN,"Westchester County, White Plains",Westchester County,White Plains,US,41.067,-73.7076,BOS,2.29
MMUN,CUN,"Cancún, Cancún",,Cancún,MX,21.0365,-86.8771,BOS,2.29
KSTL,STL,"Lambert St Louis, Saint Louis",Lambert St Louis,Saint Louis,US,38.7487,-90.37,BOS,2.22
KPVC,PVC,"Provincetown Municipal, Provincetown",Municipal,Provincetown,US,42.0719,-70.2214,BOS,2.14
KMCI,MCI,"Kansas City, Kansas City",,Kansas City,US,39.2976,-94.7139,BOS,2.02
KAUG,AUG,"Augusta State, Augusta",State,Augusta,US,44.3206,-69.7973,BOS,2.0
KMSS,MSS,"Massena  Richards Field, Massena",Richards Field,Massena,US,44.9358,-74.8456,BOS,2.0
KMKE,MKE,"General Mitchell, Milwaukee",General Mitchell,Milwaukee,US,42.9472,-87.8966,BOS,1.9
EIDW,DUB,"Dublin, Dublin",,Dublin,IE,53.4213,-6.27007,BOS,1.86
LFPG,CDG,"Charles de Gaulle, Paris",Charles de Gaulle,Paris,FR,49.0128,2.549999,BOS,1.71
KSLK,SLK,"Adirondack Regional, Saranac Lake",Adirondack Regional,Saranac Lake,US,44.3853,-74.2062,BOS,1.61
KSYR,SYR,"Syracuse Hancock, Syracuse",Hancock,Syracuse,US,43.1112,-76.1063,BOS,1.59
